event_name,start_time,end_time,full_address,city,registration_url,registration_status,registration_type,ticket_types,capacity,attendees_shown,event_format,description,extras,tags,image_url,source_domain,categories
Async House @ ETHDenver 2025,,,,,https://lu.ma/AsyncHackerHouse,,,,,,,"Welcome to the Async House at ETHDenver

​At Async House, we’re bringing together top-tier developers and industry experts for a week of hands-on building, learning, and playing in a unique space where you can focus on real, technical challenges. =nil;, is curating this experience to be robust yet chill enough to work on real projects, get your hands dirty, and make new connections.

​No fluff, just solid builders and really great vibes. Full schedule here.

​What to Expect

​Workshops & Sessions: Daily hands-on workshops on topics like async workflows, ZKPs, modular scaling, and cross-chain interoperability, led by co-hosts, resident experts, and invited teams.

​Networking & Socials: Casual events to connect with fellow developers—expect jam sessions, welcome dinners, and game/cinema room activities.

​Swag: Exclusive Async House merch.

​Who’ll be in the house

​Solidity wizards (3+ years preferred) who know their way around the codebase and a meme or two.

​Builders passionate about async blockchain workflows and pushing boundaries.

​Crypto maxis who pass the vibe check.

​Resident spots are all filled, but you’re still more than welcome to join us as a guest! We’re hosting a lineup of technical talks, workshops, a fireside chat, and casual hangs with some of the brightest builders in the space.

​Schedule
​February 24

​10:00am - 10:20am: Talk - Public Wallets Are Dead: Why Crypto Can’t Scale Without Privacy | Georgi Koreli, CEO & Co-Founder, Hinkal Nika Koreli, CTO & Co-Fonder, Hinkal

​11:00am - 11:30am: Workshop - Developing Full Stack Apps on =nil; | Dennis Oliver Huisman, Senior DevRel, =nil; Foundation

​11:30am -  11:50am: Talk - Verifiable machines as trust anchors for AI | Deli Gong, Cofounder, Automata

​12pm -  12:40pm: Workshop - Mastering On-Chain Asynchronous Development |  Ilya Marozau, Senior Blockchain Architect, =nil; Foundation 

​1:00pm - 1:40pm: Workshop - Making L2s secure with Assertions |  Jacob Czepluch, DevRel, Phylax Systems 

​2:30pm - 2:50pm: Talk: SpaceTEEs and L2 Security: A New Frontier in Confidential Computing | Filip Rezabek, Tech Lead/Researcher, Spacecoin.xyz / TUM 

​3pm - 3:20pm: Talk - Scaling Your Project Through Technology Partners | Ismael Hishon-Rezaizadeh, Co-Founder and CEO, Lagrange 

​4pm - 4:20pm: Talk - Privacy without KYC | Amit Chaudhary, Founder, Labyrinth

​February 25

​12:15pm - 12:35pm: Talk - State of ZK + Bitcoin | Omer Talip Akalin, DevRel Engineer, Citrea 

​1pm - 1:40pm: Workshop - Beaver: From Bugs to Soundness in Boojum Circuits | Olena Oshchypok, Cryptography Engineer, Matter Labs 

​1:45pm - 2:05pm: Talk - Agents have bodies with attestations in a post-AI world | Zheng Leong Chua, Cofounder, Automata 

​2:05pm - 3pm Fireside Chat - Who Controls the Fate of Ethereum? | Avi Zurlo, CEO, =nil; Foundation + Jonah Burian, Investor, Blockchain Capital 

​3:15pm - 3:35pm: Talk - How the team that built Mina is solving web3's state management problem | Austin Baggio, Head of Strategy, o1Labs 

​February 26

​10am - 10:20am: Talk - Pipelined Proving: practical ZK proofs for applications | Lancelot de Ferrière, CTO, Hylé

​10:45am - 11:05am: Talk - ZK Chains: Powering Verifiable Applications for the Private, Provable Web | Evan Shapiro, Chief Product & Strategy Officer, Mina Foundation

​11:30am - 11:50am: Talk - Fast and cheap ZKPs: a practical guide to generate proofs on Firestarter | Norbert Vadas, Head of Product, Gevulot

​1pm - 1:20pm: Talk - We're Getting Rid of Bridges! | Christine Perry, Solutions Engineering Director, Avail

​4pm - 4:40pm: Workshop - Programmable Interoperability | Cecilia Zhang, Engineer, Gwyneth

​Feb 28 - March 1: Async House Hackathon

​March 1: AlexDAO Night


User Uploaded Image
​

​Register for the growing list of talks and sessions happening at Async House here and follow @nil_Foundation on X for more updates.",,,,lu.ma,Brand / Ecosystem House / Lounge
Lost Tribes: The Blockspace Mansion w/ Polkadot,,,,,https://lu.ma/losttribeshackerhouse,,,,,,,"Stories carved in stone are now written in code.
​A week-long hackerhouse by Polkadot with $15,000+ in bounties during ETHDenver.
​This is Lost Tribes of Denver 25'.


​Lost Tribes is an 8-day celebration of freedom, creativity, and exploring our roots through ancient cave carvings (Hällristning) to inspire new, untold beginnings.

​Located in the heart of Denver, The Blockspace Mansion: is the ultimate hacker's haven where developers exchange ideas, share progress, and forge lifelong connections.

Lost Tribes is a movement for developers
Lost Tribes is a celebration of the extraordinary.
Lost Tribes is a sanctuary of belonging.

A journey from some of humanity’s earliest known expressions to the future code representing shared security for Polkadot.

​AGENDA

​22/02 - 6pm Welcome drinks & Developer Huddle
23/02 - 10am - 5pm Intro workshops to building on Polkadot, team formation & hackathon prizes overviews.
26/02 - 2 pm - 6pm CAMP OUT with Polkadot
28/02 - 12pm - 6pm Enter the Paraverse
1/03 - 2pm - 8pm Demo Day
2/03 5pm The Big Blockspace BBQ Cookout & Closing drinks

​⛺ 🔥 What to expect:

​Private chef serving up food & drinks round-the-clock

​Co-working (10am-6pm) with super-strong WiFi

​More than 15,000 USD in bounties on Polkadot to build out your ideas

​Daily agenda with top-tier innovators on Polkadot & beyond the eco

​Interactive workshops with our DevRel team to help you craft new skills

​Daily happy hours for stories to flow into the night

​Flowing mulled wine & hot chocolate by the outdoor firepit

​The venue and experience will be unlike any other hackerhouse during ETHDenver. Guaranteed.

Apply now to participate in the Lost Tribes.",,,,lu.ma,"Brand / Ecosystem House / Lounge, Party / After-hours / Entertainment"
AuraVerse DeSci Hub,,,,,https://lu.ma/AuraverseDeSciHub,,,,,,,"Reimagining Science with DeSci Perspectives 🔬🚀

​Welcome to DeSci Hub—a dynamic gathering space exclusively for researchers, scientists, investors, and DeSci builders to connect, collaborate, and create. Whether you're here to co-work, exchange ideas over light talks, or showcase groundbreaking demos, this is where the future of decentralized science takes shape.

​🌟 What’s in Focus?

​Biohacking & Longevity 🧬

​Wellness & Regenerative Science 🌱

​Open-Source DeSci & AI/Data Integration 🤖📊

​Join us for an immersive experience where brilliant minds converge to push the boundaries of science! Expect insightful talks from leading experts, thought-provoking discussions, and a fusion of DeSci & Art.

Plus, we've got great food and drinks to keep the inspiration flowing. ✨

​🎡AuraVerse DeSciHub Schedule
​February 23 (Sunday)
17:00 - 20:00 | Opening Night

​February 24 (Monday)
11:00 - 16:00 | DeSci Co-working Hour
16:00 - 18:00 | DeScAI Day – Hosted by NerdLabs & DeSciWorld

​February 25 (Tuesday)
11:00 - 16:00 | DeSci Co-working Hour
16:00 - 17:00 | DeSci Meme Coin Fest – Featuring Jenna @AthenaDAO

​February 26 (Wednesday)
11:00 - 13:00 | DeSci Co-working Hour
14:00 - 16:00 | Workshop: Exploring Programmatic Evaluator in DeSci Speaker: Michael Zargham
16:00 - 18:00 | Brewing TEE Denver – Hosted by Rena Labs「RSVP Required」

Feb
26
Brewing TEE 🍵🇺🇸 Denver
Wed, Feb 26, 4:00 PM MST
​February 27 (Thursday)
🌿 11:00 AM - 5:00 PM
Day off for Intersubjective DeSci
5:30 PM - 9:00 PM
Web3 Invest: Enterprise Leaders, Founders & VCs:
https://blocklive.io/dy9fx6w9ib

​February 28 (Friday)
12:30 - 16:30 | DeSci Public Goods 「RSVP Required」
17:00 - 20:00 | DeSpace Day

Feb
28
Auraverse DeSci Public Goods
Fri, Feb 28, 12:30 PM MST
​March 1 (Saturday)
11:00 - 14:00 | Fermented Brunch – Hosted by MicrobiomeDAO 「RSVP Required」
17:00 - 21:00 | Networking and Pitch「RSVP Required」

Mar
1
Fermented Brunch by MicrobiomeDAO
Sat, Mar 1, 11:00 AM MST
Mar
1
Networking & Pitch
Sat, Mar 1, 2:00 PM MST
​Other Events by AuraSci
Feb
27
Intersubjective DeSci
Thu, Feb 27, 11:00 AM MST
Mar
2
The AI-Powered Data Economy Driving Longevity
Sun, Mar 2, 10:30 AM MST
​
Feel free to apply for the Pitch Sessions or/and VC Pitch Night here: https://tally.so/r/w7a4Rz

​Present by AuraSci
​​Want know more about DeSci? Join in our community!

User Uploaded Image
​​Together With
Hetu
Sei
DeSciWorld
Causality Network
Kite AI by ZettaBlock
MoleDAO
BGA",,,,lu.ma,Brand / Ecosystem House / Lounge
On-Chain Gaming Hacker House,,,,,https://lu.ma/e1xx6bqe,,,,,,,"Welcome to the On-Chain Gaming Hacker House hosted by Reddy Builders!

When? Feb 23 - March 2nd
Where? Denver, Colorado

​Reddy Builders is organizing a hacker house for dedicated, on-chain game developers, aimed at breathing life into the next generation of on-chain games and launching them for everyone to play.

This Hacker House will provide Free Housing to all Game Developers building On-Chain Games and hacking in the ETHDenver Hackathon. If you need free lodging for the ETHDenver Hackathon, please consider applying!!

Hacker House Agenda
Feb 23 - Hackers Arrive at 4 PM
Feb 24 - (Open Day - Looking for Sponsors)
Feb 25 - Base Game Night
Feb 26 - Aavegotchi Game Night
Feb 27 - Cartesi Game Night
Feb 28 - Sunrise DeFi Day
March 1 - Demo Days Event
March 2 - Hackers Leave at 10AM

About Reddy Builders
We are a Web3 Developer Community, where ""Builders help Builders"" to launch, grow and scale their projects! Founded by Zach Prater & Narasimha Reddy",,,,lu.ma,"Brand / Ecosystem House / Lounge, Gaming / Sport / Physical Activity, Hackathon / Builder / Developer"
Flow @ ETH Denver,,,,"Denver, CO",https://lu.ma/ic9pxa7z,past_event,wallet_verification,,,,,"Your Quest Awaits
​​From February 23rd to March 1st, Denver's famous Castle Marne becomes the Flow Castle. A stronghold of innovation, creativity, and competition. By day, it’s an open co-working space where ideas are forged. By night, the gates open to thrilling side quests—panels, challenges, and events—all crafted to unite the Flow kingdom.

This isn’t just another gathering—it’s a full-scale takeover. Each day brings chances to forge alliances, test your skills, and push boundaries. Whether you’re here to build, compete, or leave your mark, the castle is where legends rise. Check out the schedule below and prepare for an unforgettable siege.

theflowcastle.com

​

​Mon-Fri
​8:30 AM - Voodoo Donuts on us!
Voodoo Donuts
1520 E. Colfax Ave.
Denver, CO 80218

9:30 AM - Co-working​ begins!
(see below for scheduled events)

​

​
MONDAY (FEB 24) --------------------------------
​

Cadence Workshop
​Dive into Cadence—the resource-oriented programming language for Flow—in this hands-on workshop that takes you from writing your first “Hello World” to deploying a fully functional Flow dApp. Learn the fundamentals, best practices, and advanced techniques so you can confidently create secure, scalable applications on Flow.

📅 Date: February 24
​​🕘 Time: 02:00 PM - 03:00 PM
​​🔗 Event Link (Sign up via this link)

​
​

​WEDNESDAY (FEB 26) ----------------------------
​

​thirdweb @ Flow Castle
​​Come meet the thirdweb team and learn how to build full-stack apps on Flow!

​​This will be a casual, interactive demo session for developers looking for better ways to build onchain with thirdweb and Flow. Plus, we'll be sharing interactive demos of new and unreleased tooling 👀

​📅 Date: February 26
​​🕘 Time: 10:00 AM - 11:00 AM
​​🔗 Event Link (Sign up via this link)

​

​Consumer Product Development: The Community-Powered Approach
​​Join us for an interactive workshop and brainstorming session focused on crafting exceptional consumer products (Web3 and beyond) and leveraging your community for success!

​📅 Date: February 26
​​🕘 Time: 02:00 PM - 03:00 PM
​​🔗 Event Link (Sign up via this link)

​

​Build an on chain agent in 1 hour (coinbase developer platform + flow)
​​We will have an AgentKit intro and then a 1-2 hr competition to see who can launch the most useful agent after the workshop with it.

​📅 Date: February 26
​​🕘 Time: 03:30 PM - 06:30 PM
​​🔗 Event Link (Sign up via this link)

​

​

​THURSDAY (FEB 27) -------------------------------
​

​Set It and Bet It: Self-Resolving Roulette on Flow EVM
​​We want to tell you about a really cool approach that we had to take while building roulette on FlowEVM.

This talk will be technical, but approachable. Newbs are welcome!

​​TL;DR, Commit reveal scheme with owenerless onchain random that creates a system where no actor is spinning the wheel, in effect it always has been spun.

​📅 Date: February 27
​​🕘 Time: 12:00 PM - 01:00 PM
​​🔗 Event Link (Sign up via this link)

​

​Sudocat Gaming Session
​​🎮 SudoCat Gaming Showdown @ ETH Denver! 🚀

​​Join us for an electrifying SudoCat Gaming Session at ETH Denver, where play meets trade, and earning gets real! 🏆💰

​📅 Date: February 27
​​🕘 Time: 01:00 PM - 02:00 PM
​​🔗 Event Link (Sign up via this link)

​

​Regenerates in Defi
​Explore strategies and challenges in creating more regenerative DeFi mechanisms and primitives

​📅 Date: February 27
​​🕘 Time: 02:00 PM - 03:00 PM
​​🔗 Event Link (Sign up via this link)

​

​The Intersection of DeFi and Consumer Applications
​​The Intersection of DeFi and Consumer Applications

​​Join Flow Blockchain, aiSports, More.Markets, and KittyPunch for an insightful panel exploring how DeFi powers consumer blockchain applications. Discover how DeFi infrastructure drives token value, enhances engagement, and fosters Web3 communities—bridging the gap between finance and real-world user experiences.

​📅 Date: February 27
​​🕘 Time: 03:00 PM - 03:30 PM
​​🔗 Event Link (Sign up via this link)

​

​Crypto U: Building the Future of Blockchain Education
​​Join us for Crypto & Academia: Bridging Education and Innovation, gathering at ETHDenver 2025, where university leaders, researchers, and blockchain pioneers will come together to explore the role of education in driving the future of crypto.

​📅 Date: February 27
​​🕘 Time: 04:00 PM - 05:00 PM
​​🔗 Event Link (Sign up via this link)

​

​

​FRIDAY (FEB 28) ----------------------------------
​

​Rekt & Reflect
​​Join Flow, Olympix, and the rekt for an exclusive brunch panel at the Flow Castle (10-11 AM), where we serve coffee, pastries, and the most brutal DeFi horror stories.

​​We’re dissecting some of the biggest, most catastrophic hacks in DeFi history - the exploits that drained millions, left protocols scrambling, and even brought in Interpol, FBI agents, and private investigators (yes, even hitmen were involved).

​📅 Date: February 28
​​🕘 Time: 10:00 AM - 11:00 AM
​​🔗 Event Link (Sign up via this link)

​

​From 0-1, How to Kickstart Your MVP
​Ready to build and launch your MVP with minimal hassle? In this hands-on workshop, hackers and startup teams will learn the essential steps to go from zero to a functional prototype—covering core features, lean validation strategies, and practical tools to get a product off the ground fast that acquires real users and is investment-ready.

​📅 Date: February 28
​​🕘 Time: 01:00 PM - 02:00 PM
​​🔗 Event Link (Sign up via this link)

​

​CryptoKitties Origins

​CryptoKitties, a household name that was first launched at a hackathon has transformed web3, ushering in the many debates we see to this day about scalability. Hear the story of CryptoKitties origins from one of the key people behind it and how to create next generation consumer applications.

📅 Date: February 28
🕘 Time: 02:30 PM - 03:00 PM
🔗 Event Link (Sign up via this link)

​

​Build EVM Apps with Automatically Sponsored Gas on Flow with Privy
​Brian merges learning, gaming, and programming to introduce the world to the magic of Flow Cadence and Flow EVM. A seasoned educator, he has previously built Base Learn and taught computer science at bootcamps and universities, always focusing on hands-on, practical experiences.

​📅 Date: February 28
​​🕘 Time: 03:00 PM - 04:00 PM
​​🔗 Event Link (Sign up via this link)

​

​Crypto Policy at the Castle
​Join us for Crypto Policy at the Castle, an exclusive invitation-only dinner and fireside chat at EthDenver 2025, where 30 of the most influential leaders shaping crypto policy will gather for an evening of insightful discussion, strategic networking, and fine dining in an intimate, historic setting.

​📅 Date: February 28
​​🕘 Time: 05:00 PM - 07:00 PM
​​🔗 Event Link (Sign up via this link)

​​

​

​SATURDAY (MAR 1) -------------------------------
​​

​BUIDL Day @ ETHDenver Powered by DoraHacks
​​BUIDL DAY is a premier one-day event designed to showcase the most original and contrarian startup teams in the Web3 industry. Hosted by DoraHacks on March 1st in Denver, this flagship gathering will bring together founders, builders, investors, and ecosystem leaders to collaborate, pitch, and explore groundbreaking innovations.

​​📅 Date: March 1
​​🕘 Time: 11:45 AM - 12:15 PM
​​🔗 Event Link (Sign up via this link)","{""coworking"",""workshops""}","{""flow"",""builders"",""talks""}",,lu.ma,Brand / Ecosystem House / Lounge
Superchain Space: Denver,,,,"Denver, CO",https://lu.ma/superchaindenver,past_event,waitlist_wallet_verification,,,,,"Enter the Superchain Space, a collaboration hub for the Superchain at ETHDenver!

As the Superchain enters its interop age, we're welcoming all builders and creators to gather in person to nurture relationships, share knowledge, and innovate together.

This space is hosted by Superchain.Eco in collaboration with Optimism, Layer Zero, and Celo.

​Find the full Superchain Space schedule ↓
https://www.superchain.eco/space#ss-schedule

​For inquiries please contact us through lu.ma or op@superchain.eco.","{""schedule_link""}","{""superchain"",""builders"",""talks""}",,lu.ma,Brand / Ecosystem House / Lounge
1kx Builders Hub | EthDenver Edition,,,,,https://lu.ma/stratvd6,,,,,,,"Join us for coffee, bites, and ample WiFi on Tuesday, Feb 25 and Wednesday, Feb 26 from 10:00 AM - 6:00 PM each day, just a short walk away from Union Station.

₊˚.🎧 ✩｡☕ 🤎

Chill with other builders and meet the 1kx investment and research team.

‧₊˚✧ Round Table Discussions! ✧˚₊‧

Relaxed, roundtable discussions will be held in designated space of our hub to accommodate an group of 15 to 30 participants. These are not formal panels - but an opportunity to jam on ideas with other like-minded builders.

​Come grab a bite, listen in, and find inspiration from fellow builders! Our list of confirmed topics and timings are below, with more to follow.

Tue, Feb 25:
11:30 AM - 1:30 PM: AI Agents Workshop | RSVP
2:00 PM - 4:00 PM: Agent Wallets Workshop | RSVP

​Wed, Feb 26:

​2:00PM - 3:30 PM: Web3 Social Workshop | RSVP

Organizers
1kx is a leading early-stage investment firm that partners with forward-thinking protocols, founders, and communities to help grow the crypto ecosystem. Supported by a team of leading technology engineers, investors, and entrepreneurs, 1kx takes a collaborative, hands-on approach to help the best and brightest minds in web3 grow and scale their platforms and build lasting community-driven networks. To learn more, please visit https://1kx.network/.",,,,lu.ma,"Brand / Ecosystem House / Lounge, Hackathon / Builder / Developer"
The Road to 11 Trillion Agents,,,,,https://lu.ma/g6qungq,,,,,,,"Join us for coffee, bites, and ample WiFi on Tuesday, Feb 25 and Wednesday, Feb 26 from 10:00 AM - 6:00 PM each day, just a short walk away from Union Station.

₊˚.🎧 ✩｡☕ 🤎

Chill with other builders and meet the 1kx investment and research team.

‧₊˚✧ Round Table Discussions! ✧˚₊‧

Relaxed, roundtable discussions will be held in designated space of our hub to accommodate an group of 15 to 30 participants. These are not formal panels - but an opportunity to jam on ideas with other like-minded builders.

​Come grab a bite, listen in, and find inspiration from fellow builders! Our list of confirmed topics and timings are below, with more to follow.

Tue, Feb 25:
11:30 AM - 1:30 PM: AI Agents Workshop | RSVP
2:00 PM - 4:00 PM: Agent Wallets Workshop | RSVP

​Wed, Feb 26:

​2:00PM - 3:30 PM: Web3 Social Workshop | RSVP

Organizers
1kx is a leading early-stage investment firm that partners with forward-thinking protocols, founders, and communities to help grow the crypto ecosystem. Supported by a team of leading technology engineers, investors, and entrepreneurs, 1kx takes a collaborative, hands-on approach to help the best and brightest minds in web3 grow and scale their platforms and build lasting community-driven networks. To learn more, please visit https://1kx.network/.",,,,lu.ma,Networking / Social
Corn Hub at ETHDenver,,,,,https://lu.ma/cornhubforall,,,,,,,"Corn wants to ensure that everyone has a “butter” conference experience. That’s why we’ve built the Corn Hub, an interactive and engaging social pop-up space with dynamic multi-day programming.

The Hub is a veritable cornucopia containing everything you need to get the most out of ETHDenver. It's the go-to space to cornect with friends old and new, supercharge your BD efforts, and indulge in the reliable WiFi.

The Hub is open:

Tuesday Feb 25th: 8:00AM - 6:00PM
Wednesday Feb 26th: 8:00AM - 6:00PM
Thursday Feb 27th: 8:00AM - 4:00PM

For in-space programming, be sure to RSVP to the following events:

Tuesday, Feb 25, 2025
Corn Breakfast w/ LayerZero: https://lu.ma/cornLZ
Arbicorn Roast w/ Arbitrum & Legion: https://lu.ma/arbicorn
Happy Hour w/RedStone & Veda: https://lu.ma/RSandVeda

Wednesday, Feb 26, 2025
Yap to Eat Breakfast w/ Kaito & Corn: https://lu.ma/yaptoeat
Corn Tacos w/ Babylon: https://lu.ma/babylontacos
Charcuterie & Recruiterie: Careers in DeFi Happy Hour w/ EtherFi & Certora: https://lu.ma/careersisdefi

Thursday Feb 27, 2025
Good Corning Breakfast w/ Chaos Labs & Wonderland: https://lu.ma/gcbreakfast
Corn Taco Lunch w/ Cantina & Spearbit: https://lu.ma/cantinaspearbit
Corn Drop ft Lil Jon: https://lu.ma/corndrop",,,,lu.ma,Brand / Ecosystem House / Lounge
TAC Hacker House: The Ultimate Builder Hub @ ETHDenver,,,"3770 Walnut St, Denver, CO 80205, USA","Denver, CO",https://lu.ma/TAC_Denver,past_event,ticketed_wallet_verification,,,,,"Step into the TAC Hacker House, join the plebs’ cabal. This isn’t just a space—it’s your gateway to level up your ideas and join the TAC Wizards. Whether you’re fine-tuning your dApp or gearing up to conquer the Telegram userbase, we’ve got you covered.

At TAC Hacker House we redefine the meaning of gm: Go Mainstream.

​💼 The Power Table

​​Sit down with the TAC Growth Team to advise, refine, and supercharge your dApp. Strategize how to target retail mass-market leveraging the power of TON and Telegram. Come for the insights, leave more bullish than you can imagine!🔥📈

​☕ Coffee, Codes, and Cravings

​Fuel your hustle with specialty brews, daily lunch breaks, and curated snacks served all day. This is your space to recharge, brainstorm, and connect with fellow builders. 🍕☕💬

Here the ticker is TON, but the code is EVM.

​🛠️ Workshop Hour: Build & Level Up

​​Dive into daily 1-hour workshops led by experts who’ve been in the trenches. Explore more in depth the TAC tech stack with our CTO and tech team, get a view on the roadmap. ​Ensure your project is primed for success! 🚀📊

​💡 From Idea to Launch: TAC x Builders

​Inspired by the community, we’re here to foster collaboration and action. Through guided discussions on tech innovation and GTM strategies, we’ll help you:

​Connect the dots

​Raise funds

​Get your project live

​Success takes teamwork, and we’re all about making it happen together. 🔗💪

​🗣️ Business Meetings & Networking

​Stop in to take your business meetings outside of the crowded main venue, meet other builders, connect with the TAC team, grab exclusive swags, or just hang for the vibe. We’re excited to:

​Learn about your project

​Help you take it to the next level

​Success takes collaboration, and we want to help you succeed, starting with providing a space like TAC Hacker House to send your idea to Valhalla. 🌟🚀

About TAC

​TAC is a novel TON-Adapter enabling Ethereum developers to launch hybrid dApps to access Telegram’s 950M+ userbase.

​Website | X | Discord | Telegram | LinkedIn

​Join us at TAC Hacker House—the ultimate builder hub during ETHDenver. At TAC, GM means Go Mainstream!! 🙌💥

Join the official Telegram Chat to speak to the team!
https://t.me/+17EvDyITWAk5OWI1","{""workshops"",""snacks"",""networking""}","{""ton"",""telegram"",""builders""}",,lu.ma,"Brand / Ecosystem House / Lounge, Hackathon / Builder / Developer"
Bitcoin Block Fest,,,,,https://lu.ma/gfl98k5e,,,,,,,"What is Bitcoin Block Fest?

​Bitcoin Block Fest, brought to you by Bitcoin x AI Startup Lab, is a premier series of events celebrating Bitcoin x AI innovation, collaboration, and community. Running alongside ETH Denver 2025, this event takes place in Denver's vibrant RiNo District, just a short walk from the main ETH Denver venue.

​Why Attend Bitcoin Block Fest?

​Convenience: All venues are within a 8-minute walking radius, saving time and cutting down on travel costs.

​Unmatched Networking Opportunities: Connect with Bitcoiners, entrepreneurs, investors, and innovators from around the world in a high-energy, focused environment.

​A Celebration of Bitcoin x AI Innovation: Be part of a growing movement that highlights the creativity and progress happening within the Bitcoin x AI ecosystem.

​Whether you're a startup founder, developer, investor, or Bitcoin x AI enthusiast, Bitcoin Block Fest is your opportunity to engage with the Bitcoin ecosystem like never before. Dive into a curated lineup of events, make valuable connections, and help drive the future of Bitcoin innovation.

​Join us and be part of the action at Bitcoin Block Fest 2025!

Also join us at the Bitcoin Investor and Founder Mixer on Feb 28, Fri 6 - 8pm MT.",,,,lu.ma,Networking / Social
